"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"11","Hippocampus guttulatus","Hippocampus","guttulatus",30915,"Cuvier, 1829","Long-snouted seahorse","Higut_u9.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,-1,-1,"demersal","non-migratory",NA,1,20,52034,NA,NA,NA,NA,NA,6,72462,24.22,21.5,"SL",18,"OT",79902,NA,NA,NA,NA,NA,NA,NA,NA,"HIRAM_U0",NA,NA,NA,12238,"minor commercial","unknown",NA,NA,"",NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"commercial","based mainly on capture",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Commonly referred to as <i>Hippocampus ramulosus</i>. Occurs mostly in shallow inshore waters including littoral lagoons (Ref. 9937) among algae and eel grass (<i>Zostera</i> or <i>Posidonia</i>), or among rocks and in gravel bottoms (Ref. 52034). Juveniles were observed to recruit to vegetated habitats at 8.8- 10.4 cm length (Ref. 79902). Adults (from 12.5 cm length) appear to maintain very restricted home ranges (19.9 ± 12.4 m2) over multiple years making limited daily movements. (Ref. 79902). May move to deeper waters during winter (Ref. 53712). Like other seahorse species, adult dispersals over large distances is probably caused by strong wave action and currents during storms or when it anchors itself to floating debris (Ref. 52034). Is thought to live for 4-7 years (Ref. 79902). Because of its early age at maturity, rapid growth rate, short generation time and multiple breeding cycles during each spawning season, resilience is thought to be high (Ref. 88171). However, in tropical areas where seagrass beds are regularly exploited for other species of seahorses for the aquarium trade, traditional medicine, etc., populations have been quickly eradicated (Ref. 89253). Can be maintained in an aquarium environment if trained to feed on dead animals (Ref. 88171). Length type OT refers to height (= TL - head length), Ref. 30915.",NA,0.5,0,5,"1990-10-25T00:00:00.000Z",10,"2014-05-01T00:00:00.000Z",1,"1999-08-23T00:00:00.000Z",NA,1802
"12","Pristis pectinata","Pristis","pectinata",6871,"Latham, 1794","Smalltooth sawfish","Prpec_u0.gif",NA,NA,NA,16,NA,6924,NA,"elongated","R",NA,NA,0,-1,-1,-1,"demersal","amphidromous",51243,0,10,4429,NA,NA,NA,NA,NA,NA,NA,86.03,760,"TL",NA,NA,6871,550,"TL",NA,NA,6871,350000,NA,3164,"PRPEC_U0",NA,NA,NA,4832,"minor commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,"",NA,"various gears","",0,-1,0,0,-1,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",12951,-1,5578,"traumatogenic",6871,"no special ability",NA,NA,-1,"Inshore and intertidal species, but may cross deep water to reach offshore islands; also ascends rivers and can tolerate fresh water (Ref. 9859). Commonly seen in bays, lagoons, estuaries, and river mouths.  Also found in rivers and lakes (Ref. 12951). Feeds on fishes and shellfishes (Ref. 58784). Ovoviviparous (Ref. 50449). Gravid females reportedly carry as many as 20 embryos, which require a year of gestation (Ref. 27549).  Uses its saw to stir the bottom when feeding on bottom invertebrates and to kill pelagic fishes (Ref. 9859). Utilized as a food fish; oil is used to make medicine, soap and in leather tanning (Ref. 6871).  Adults stuffed for decoration (Ref. 6871). Reported to be aggressive towards sharks when kept in tanks (Ref. 12951). This species is currently protected in several areas as populations are under severe threat (Ref. 81624).",NA,0.5312,0,2,"1991-01-18T00:00:00.000Z",2291,"2015-01-15T00:00:00.000Z",134,"1995-10-05T00:00:00.000Z",NA,2057
"13","Manta birostris","Manta","birostris",6871,"(Walbaum, 1792)","Giant manta","Mabir_ub.jpg",NA,NA,NA,22,"Mobulinae",5233,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","oceanodromous",51243,0,120,58302,NA,NA,NA,20,31742,NA,NA,78.25,910,"WD",NA,NA,58048,450,"WD",NA,NA,3176,3e+06,NA,5377,"MABIR_U0",NA,NA,NA,6077,"minor commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,"",NA,"","",-1,-1,0,0,-1,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",12951,0,NA,"harmless",9911,"no special ability",NA,NA,-1,"Mainly in near-shore waters, near coral and rocky reefs; sometimes found over deep water (Ref. 12951).  Reported along productive coastlines with regular upwelling, oceanic island groups and offshore pinnacles and seamounts (Ref. 82755).  Penetrates shallow muddy bays and the intertidal and occurs off river mouths (Ref. 9911).  Pelagic (Ref. 58302).  Occurs singly or in loose aggregations (Ref. 12951).  Mainly plankton feeders, but may feed on small and moderate-sized fishes as well (Ref. 9911).  Leaps out the water mainly in spring and autumn, possibly as part of mating behavior (Ref. 31742).  Easily approached (Ref. 9911).  Ovoviviparous (Ref. 6902).  Commonly caught by tuna gillnet and harpoon fisheries. Utilized for its gill filter plates (very high value), meat, cartilage and skin (Ref.58048). Liver yields oil and skin used as abrasive (Ref. 6902).  World's largest ray (Ref. 37816).",NA,0.75,0,2,"1991-01-18T00:00:00.000Z",14,"2013-04-15T00:00:00.000Z",134,"1995-10-05T00:00:00.000Z",NA,2061
"14","Latimeria chalumnae","Latimeria","chalumnae",3185,"Smith, 1939","Coelacanth","Lacha_m1.gif",NA,NA,NA,30,NA,1832,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,150,700,38430,180,250,27564,48,30865,NA,NA,85.71,168,"TL",200,"TL",30865,NA,NA,NA,NA,NA,95000,NA,26162,"LACHA_U0",NA,NA,NA,27565,"of no interest","unknown",NA,"Target of curio trade.",NA,"bycatch in hook and line fishery","hooks and lines","",0,0,0,0,0,-1,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Known as the living fossil.  Inhabits steep rocky shores, sheltering in caves during the day (Ref. 38425), with as much as 14 individuals in a single cave (Ref. 38426).  Foraging singly over open substrate at night (Ref. 38426), it drifts passively with the current or swims slowly with its paired fins and its second dorsal and anal fins (Ref. 38427).  May travel as much as 8 km at night searching for food and retreats to the nearest cave before dawn (Ref. 38426).  Preys on fishes and squid (Ref. 26162).  <i>Beryx</i>, <i>Polymixia</i>, <i>Symphysanodon</i>, apogonids, a skate, an eel and a swell shark have been known to be eaten (Ref. 11228).  Its main enemies are likely to be large sharks (Ref. 26162).  Ovoviviparous, with as much as 5-29 young (Ref. 11228, 37171).  Gestation period estimated at 3 years, which would be the longest known in vertebrates (Ref. 30865).  A small relative gill area (Ref. 38428) restricts coelacanths to a life 'in the slow lane', drift-feeding at night in cold waters and resting in slightly warmer caves for food consumption during day time (Ref. 38429).  Recently, Prof Hans Fricke and associates have succeeded in observing and filming Latimeria in their natural habitat.  Using a two-man submersible, Fricke found several coelacanths in depths of 120-400 m on the barren lava slopes off Grand Comoro.  Coelacanths have distinctive white markings, and this allowed recognition of individuals and tracking of their movements.  During the day, Latimeria retreat to caves, with as many as 13 fish crowded together in a single cave.  Several individuals occupy overlapping home ranges, and Fricke never saw any aggressive encounters between coelacanths.  By resting in caves (were there are no strong currents) the coelacanths save energy and avoid encounters with large predators (deep-water sharks).  After sunset, the coelacanths leave their caves and drift slowly across the substrate, presumably looking for food, within 1-3 meters of the bottom.  On these nightly hunting forays, the coelacanth may travel as much as 8 km; and before dawn they shelter in the nearest cave.  While searching for prey, or moving from one cave to another, Latimeria appears to move in slow motion, either drifting passively with the current and using its flexible pectoral and pelvic fins to adjust its position, or slowly swimming by a synchronous sculling movement of the second dorsal and anal fins.  In slow forward swimming, the left pectoral and right pelvic fins move forward, while the right pectoral and left pelvic fins are pulled backward.  This tandem movement of alternate paired fins resembles the movement of the forelimbs and hindlimbs of a tetrapod walking on land.  Latimeria does not use its lobed fins for walking on the bottom, and even when they are resting in caves they usually do not touch the substrate.  Like most slow moving fishes, the coelacanth can make a sudden lunge or fast start by means of a quick flip of its massive caudal fin.  During its nightly foraging swims, Latimeria was often seen to perform head-stands, in which it rotates its body into a vertical position, with its head near the bottom and its caudal fin curved perpendicular to its body.  It then held this position for two or three minutes at a time.  This curious behavior may be used when it is scanning the bottom with its putative electoreceptive rostral organ, or it may be a reaction to the bright lights of Prof.  Fricke's submersible (Ref. 38228).",NA,1.2539,0,2,"1991-01-18T00:00:00.000Z",113,"2009-11-18T00:00:00.000Z",1,"1994-01-28T00:00:00.000Z",NA,2063
"15","Acipenser stellatus","Acipenser","stellatus",3397,"Pallas, 1771","Starry sturgeon","Acste_ua.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,10,100,NA,NA,NA,NA,27,6866,NA,NA,64.48,220,"TL",NA,NA,9988,125,"TL",NA,NA,3397,80000,NA,9988,"ACSTE_U0",NA,NA,NA,9988,"commercial","unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,"commercial",NA,12108,"never/rarely",NA,"public aquariums",NA,4537,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"At the sea, it occurs in coastal and estuarine zones and forages on the bottom mostly on clayey sand and intensively in the middle and upper water layers (Ref.  59043).  Found mainly near shore over sand and mud, stays at the bottom during the day and rises to the surface to feed at night.  Feeds mainly on fish, also mollusks, crustaceans and worms (Ref. 3193).  Spawns in strong-current habitats in main course of large and deep rivers, on stone or gravel bottom.  Spawning also takes place on flooded river banks and if gravel bottom is not available, on sand or sandy clay.  Juveniles stay in shallow riverine habitats during first summer (Ref. 59043).  One of the three most important species for caviar; also utilized fresh and frozen; eaten pan-fried, broiled and baked (Ref. 9988).  Overfishing at the sea for meat and caviar will soon cause extinction of the natural populations and their survival can only depend on stocking (Ref. 59043).",NA,0.5,0,2,"1991-01-18T00:00:00.000Z",10,"2010-07-14T00:00:00.000Z",97,"2003-01-03T00:00:00.000Z",NA,2065
"16","Acipenser sturio","Acipenser","sturio",3397,"Linnaeus, 1758","Sturgeon","Acstu_u1.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,4,93,51346,5,60,26160,100,556,6.8,72465,88.08,600,"TL",NA,NA,59043,125,"TL",NA,NA,3397,4e+05,120000,556,NA,NA,NA,NA,181,"commercial","unknown",NA,NA,"from 1,000 to 10,000","North Sea (Fishing Area 27)","seines","",0,-1,0,0,0,0,0,0,-1,0,"commercial","",2196,"never/rarely",NA,"never/rarely","",274,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Amphihaline and anadromous fish (Ref. 51346, 51439), frequenting littoral zones (Ref. 2163, 51439, 51442). A long-lived and slow-growing species (Ref. 9988). It lives the major part of his life in sea but enters rivers for reproduction (Ref. 30578, 51442). Found on various substrates, from sand to rocks (Ref. 51346). At the sea, it occurs in coastal and estuarine zones. In freshwaters, it inhabits estuaries and large rivers (Ref. 59043). Juveniles found both in estuaries and in the sea (Ref. 2163), they slowly adapt to saltwater (Ref. 89103) and usually spend around 2-3 years in river estuaries before moving to the sea (Ref. 40152), some may migrate to the sea during their first summer (Ref. 59043). Usually solitary. Feeds on crustaceans, mollusks, polychaete worms and small fish. Today most males only reach 100-150 cm length, females 130-215 cm (Ref. 59043, 89104). Utilized fresh and frozen, and also for caviar; eaten steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988). A threatened species, mainly due to bycatch, poaching, habitat degradation (spawning grounds, nursery areas) and physical obstacles to migration (Ref. 26160). 
",NA,0.5,0,2,"1991-01-18T00:00:00.000Z",2189,"2012-01-25T22:15:38.000Z",1,"1994-02-03T00:00:00.000Z",NA,2066
"17","Huso huso","Huso","huso",59043,"(Linnaeus, 1758)","Beluga","Huhus_u6.jpg",NA,NA,NA,32,"Acipenserinae",2361,NA,"elongated","O",NA,NA,0,-1,-1,-1,"pelagic","anadromous",51243,70,180,NA,NA,NA,NA,118,47437,NA,NA,88.74,800,"TL",NA,NA,59043,215,"TL",NA,NA,3397,3200000,NA,59043,"HUHUS_U0",NA,NA,NA,9988,"commercial","unknown",NA,NA,NA,"Russia, Kazakhstan and Iran","seines","",-1,0,0,0,0,0,0,0,-1,0,"commercial","",12108,"never/rarely",NA,"public aquariums","",4537,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Pelagic at the sea, following its prey.  Undertakes upriver migration to spawn.  Juveniles occur in shallow riverine habitats during their first summer.  Spawns in the main course of large and deep rivers with strong current and on stone or gravel bottom (Ref. 59043).  Feeds mostly on sea fishes (Black Sea whiting, anchovies, flatfishes, gobies, fry of bottom-living fishes), also crustaceans, mollusks, mysids and amphipods.  Fisheries are based almost entirely on the value of the caviar, but meat also is sold fresh, smoked and frozen; eaten broiled, boiled, fried and baked (Ref. 9988).  Bester, a hybrid of female <i>Huso huso</i> and male sterlet <i>Acipenser ruthenus</i>, has been successfully cultivated for its high quality eggs (Ref. 9988).  The largest sturgeon and largest European freshwater fish.  In Guinness Book of Records as the most expensive fish (Ref. 6472).  Threatened due to overfishing for meat at the sea and for caviar in estuaries.  These threats will soon cause global extinction of the natural populations.  Survival can only depend on stocking (Ref. 59043).",NA,0.75,0,2,"1991-01-18T00:00:00.000Z",10,"2015-03-23T00:00:00.000Z",97,"2003-01-03T00:00:00.000Z",NA,2067
"18","Arapaima gigas","Arapaima","gigas",50891,"(Schinz, 1822)","Arapaima","Argig_u1.jpg",NA,NA,NA,628,NA,529,NA,"fusiform / normal","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.97,450,"TL",NA,NA,6398,200,"TL",NA,NA,557,2e+05,NA,557,"ARGIG_U1",NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"commercial",NA,12108,"never/rarely",NA,"public aquariums","based mainly on capture",557,-1,4537,"harmless",NA,"no special ability",NA,NA,-1,"Often referred to as the largest freshwater fish.  Builds a nest of about 15 cm depth and 50 cm width in sandy bottoms.  Spawns in April and May and guards the eggs and the young.  Obligate air breather.  The fish rises to the surface of the water and inspires air in a noisy, distinctive gulp, which is reported to carry for long distances (Ref. 50891).  Threatened due to over harvesting (Ref. 58490).",NA,0.5938,0,2,"1991-01-21T00:00:00.000Z",10,"2007-07-24T00:00:00.000Z",1,"1994-02-05T00:00:00.000Z",NA,2076
"19","Rhincodon typus","Rhincodon","typus",26319,"Smith, 1828","Whale shark","Rhtyp_ud.jpg",NA,NA,NA,6,NA,2283,NA,"elongated","R",NA,NA,0,0,0,-1,"pelagic-oceanic","oceanodromous",51243,0,700,43278,0,100,89972,70,72468,NA,NA,81.15,1600,"TL",2000,"TL",48722,1000,"TL",NA,NA,12757,3.4e+07,NA,48722,"RHTYP_U0",NA,NA,NA,13571,"commercial","unknown",NA,"Meat and fins used for food. Valued in ecotourism.","","High value fishery off Taiwan.","various gears","",0,-1,0,0,-1,-1,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",247,0,NA,"harmless",6871,"electrosensing only",10311,NA,-1,"World's largest fish, which is harmless to humans (Ref. 6871).  Specimens rarely above 12 m.  Often seen offshore but coming close inshore, sometimes entering lagoons or coral atolls (Ref. 247).  Sometimes seen cruising near outer wall (Ref. 26938).  Reported to frequent shallow water areas near estuaries and river mouths, sometimes during seasonal shrimp blooms (Ref. 48696).  Found singly, or in aggregations of over 100 individuals (Ref. 5578).  Often associated with groups of pelagic fishes, especially scombrids (Ref. 247).  Highly migratory between ocean basins and national jurisdictions, but returns to the same sites annually (Ref. 48672).  Feed on planktonic and nektonic prey, such as small fishes (sardines, anchovies, mackerel, juvenile tunas and albacore), small crustaceans and squids (Ref. 247).  Often seen in a vertical position with the head at or near the surface when feeding (Ref. 13571).  When actively feeding on zooplankton the sharks turn their heads from side to side, with part of the head lifted out of the water, and the mouth opened and closed 7-28 times per minute; these suction gulps were synchronized with the opening and closing of the gill slits (Ref. 35680).  Ovoviviparous, litter size is over 300 pups (Ref. 37816, 43278).  Females of 438 to 562 cm are immature (FIGIS 09/2003).  Utilized fresh, frozen, dried and salted for human consumption, liver processed for oil, fins used for shark-fin soup, offal probably for fishmeal (Ref. 13571), cartilage for health supplements and skin for leather products (Ref. 48723).  Used in Chinese medicine (Ref. 12166).  Highly valued commodity in ecotourism operations.  Populations have been depleted in several countries by harpoon fisheries (Ref. 48696).",NA,1.5,0,23,"1992-06-15T00:00:00.000Z",2291,"2014-09-08T00:00:00.000Z",113,"1995-06-07T00:00:00.000Z",NA,2081
"20","Acipenser naccarii","Acipenser","naccarii",59043,"Bonaparte, 1836","Adriatic sturgeon","Acnac_u0.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,10,40,93286,NA,NA,NA,NA,NA,NA,NA,86.02,200,"TL",NA,NA,3397,NA,NA,NA,NA,NA,25000,NA,3193,NA,NA,NA,NA,26100,"commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Occurs in the sea close to shore and estuaries, not entering pure marine waters.  In freshwater, it inhabits large deep rivers (Ref.  59043).  A long-lived species which is found mainly over sand and mud.  Feeds on bottom-living invertebrates and small fishes.  Reproduction takes place from May to July.  Is threatened by habitat destruction, pollution and overfishing (Ref. 26100).  The flesh is used for food but the eggs are not consumed as caviar (Ref. 6866).",NA,0.5,0,2,"1991-03-19T00:00:00.000Z",1816,"2013-04-17T00:00:00.000Z",1,"1994-02-03T00:00:00.000Z",NA,2504
"21","Acipenser nudiventris","Acipenser","nudiventris",3397,"Lovetsky, 1828","Fringebarbel sturgeon","Acnud_u2.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,30,60,3397,NA,NA,NA,NA,NA,NA,NA,85,200,"TL",NA,NA,3397,132,"TL",NA,NA,3397,80000,NA,52332,NA,NA,NA,NA,NA,"commercial","unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,"commercial",NA,4537,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Adults occur in the sea close to shores and estuaries and in deep stretches of large rivers over muddy substrate. Are usually solitary.  Juveniles live in shallow riverine habitats (Ref. 59043). Feed on mollusks, amphipods and chironomid larvae.  Spawning takes place in strong-current habitats in main course of large and deep rivers on stone or gravel bottom (Ref. 59043) from end of April to June (end of May in Rioni River, Black Sea) (Ref. 3193).",NA,0.5,0,2,"1991-03-19T00:00:00.000Z",2,"2013-09-13T00:00:00.000Z",1,"1994-02-03T00:00:00.000Z",NA,2505
"22","Pristis microdon","Pristis","microdon",6871,"Latham, 1794","Largetooth sawfish","Prmic_u1.jpg",NA,NA,NA,16,NA,6924,NA,"elongated","R",NA,NA,0,-1,-1,-1,"demersal","amphidromous",51243,0,10,27000,NA,NA,NA,30,9859,NA,NA,86.67,700,"TL",NA,NA,58048,500,"TL",NA,NA,2683,6e+05,NA,3164,"PRMIC_U1",NA,NA,NA,3164,"minor commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,"",NA,"","",0,-1,-1,0,-1,-1,0,0,-1,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,5578,"traumatogenic",4690,"no special ability",NA,NA,-1,"Inhabits sandy or muddy bottoms of shallow coastal waters, estuaries, river mouths, and   freshwater rivers and lakes.  Usually found in turbid channels of large rivers over soft mud bottoms (Ref. 2847, 44894).  Adults usually found in estuaries and young ascend into fresh water.  Large adults can also be found in fresh water, but are rarely caught (Ref. 12693).  Feeds on benthic animals and small schooling species.  Ovoviviparous (Ref. 50449).  The saw is used for grubbing and attacking prey as well as for defense.  The saws sell as tourist souvenirs (Ref. 7248).  Occasionally caught by demersal tangle net and trawl fisheries in the Arafura Sea; possibly extinct in parts of the Indo-Pacific; highly susceptible to gill nets. Utilized for its fins and meat (both of very high value), and skin and cartilage (Ref.58048). ",NA,0.5312,0,1,"1991-05-01T00:00:00.000Z",1790,"2008-02-15T03:41:07.000Z",134,"1995-10-05T00:00:00.000Z",NA,2546
"23","Acipenser brevirostrum","Acipenser","brevirostrum",5723,"Lesueur, 1818","Shortnose sturgeon","Acbre_u0.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,6,53,93286,6,34,93286,67,6866,7,273,82.9,143,"TL",NA,NA,6866,50,"TL",NA,NA,12193,23000,NA,6866,"ACBRE_U1",NA,NA,NA,3192,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,-1,0,0,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums",NA,273,-1,4699,"harmless",NA,"electrosensing only",10311,NA,-1,"Inhabit river mouths, lakes, estuaries, and bays; occasionally enters the open sea. Feeds mostly at night over soft substrates; juveniles feed primarily on benthic crustaceans and insects, adults prey on benthic crustaceans, insects and mollusks (Ref. 93252). Maximum known age is 67 years for females and 30 years for males.  Flesh of good quality; eggs are suitable for caviar (Ref. 3192).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",2291,"2015-07-13T00:00:00.000Z",10,"1994-03-22T00:00:00.000Z",NA,2590
"24","Acipenser fulvescens","Acipenser","fulvescens",5723,"Rafinesque, 1817","Lake sturgeon","Acful_u0.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,152,72475,23.25,273,88.67,274,"TL",NA,NA,5723,97.5,"TL",NA,NA,12193,125000,NA,3672,NA,NA,NA,NA,5723,"commercial","unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,-1,0,"experimental",NA,41542,"never/rarely",NA,"public aquariums",NA,273,-1,4699,"harmless",NA,"electrosensing only",10311,NA,-1,"Inhabits bottom of lakes and large rivers (Ref. 10294), usually in 5-9 m depth, over mud, sand, and gravel.  Occasionally enters brackish water.  A specimen caught in 1952 was reputed to have been 152 years old (Ref. 6866).  Search for food, with the aid of the sensory ability of the barbels, by constantly moving close to the substrate.  Omnivorous, virtually anything edible that enters the mouth is sucked up and consumed.  The food is worked or pulled in the mouth, often partly ejected and sucked in again (Ref. 1998).  Spawning sites are rocky and boulder filled areas  along the outside bend of rivers (Ref. 41542).  Smoked and in 1951, Canada, 2,000 lbs. of caviar were made from the eggs (Ref. 37032).  Threatened due to over harvesting, habitat loss and pollution (Ref. 58490).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",1472,"2008-01-25T00:00:00.000Z",1,"1994-01-28T00:00:00.000Z",NA,2591
"25","Acipenser medirostris","Acipenser","medirostris",5723,"Ayres, 1854","Green sturgeon","Acmed_u0.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,0,80,50610,NA,NA,NA,60,72476,NA,NA,79.94,270,"TL",NA,NA,96339,130,"TL",NA,NA,12193,159000,NA,2850,"ACMED_U0",NA,NA,NA,4563,"minor commercial","unknown",NA,NA,"",NA,"seines","",0,-1,0,0,0,-1,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,4699,"harmless",NA,"electrosensing only",10311,NA,-1,"Found in estuaries, lower reaches of large rivers, and in salt or brackish water off river mouths (Ref. 5723).  Probably spawns in fresh water (Ref. 27547).  May cover considerable distances in the ocean (Ref. 27547).  Edible but with a disagreeable taste and unpleasant odor (Ref. 1998).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",2291,"2014-09-03T00:00:00.000Z",113,"1995-12-15T00:00:00.000Z",NA,2592
"26","Acipenser oxyrinchus","Acipenser","oxyrinchus",5723,"Mitchill, 1815","Atlantic sturgeon","Acoxy_u0.jpg",NA,NA,"Acoxy_j0.jpg",32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,1,46,4639,NA,NA,NA,60,39404,5,273,85.21,403,"TL",430,"TL",26938,NA,NA,250,"TL",7251,NA,368000,26938,NA,NA,NA,NA,NA,"commercial","unknown",NA,NA,"",NA,"","",0,-1,0,0,0,-1,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",273,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Anadromous species. Occurs solitarily or in small groups; inhabits shallow waters of continental shelves. At the sea, it occurs in coastal and estuarine areas on soft bottom (Ref. 59043) down to a depth of 50 m (Ref. 89115). Adults are highly migratory while at sea (Ref. 57533) and make long migrations along the coast (Ref. 59043). Feeds on benthhic invertebrates such as mollusks, crustaceans and aquitic insects from the sediments (Ref. 93252). They forage mainly in brackish waters (Ref. 59043). Ascend large rivers to spawn (Ref. 59043). Juveniles may remain in fresh or brackish water until 2-5 years of age or 76-91.5 cm long (Ref. 4639, 59043). Today most individuals do not exceed 250 cm length. Tagging studies have shown that this species may move distances up to 1,450 km (Ref. 89119). Used smoked and fresh (Ref. 37032). Near threatened globally, but extirpated in Europe due to massive overfishing, damming, river regulation and pollution (Ref. 59043).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",2291,"2015-01-20T00:00:00.000Z",303,"2011-11-29T00:00:00.000Z",NA,2593
"27","Acipenser transmontanus","Acipenser","transmontanus",5723,"Richardson, 1836","White sturgeon","Actra_u3.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,1,122,27547,NA,NA,NA,104,39377,NA,NA,87.37,610,"TL",NA,NA,1998,21,"TL",NA,NA,12193,816000,NA,27436,NA,NA,NA,NA,9988,"commercial","unknown",NA,NA,NA,NA,NA,NA,-1,-1,0,-1,0,-1,0,0,-1,-1,"commercial",NA,12587,"never/rarely",NA,"never/rarely",NA,9183,-1,4699,"harmless",NA,"electrosensing only",10311,NA,-1,"Spends most of its time in the sea, usually close to shore (Ref. 27547).  Enters estuaries of large rivers and moves far inland to spawn (Ref. 5723).  Individuals larger than 48.3 cm feed mainly on fishes; smaller ones feed mainly on chironomids, but also takes small crustaceans, other insects and mollusks (Ref. 1998).  Feeding ceases just before spawning (Ref. 1998).  Excellent food fish that is sold fresh, smoked or frozen (Ref. 9988).  Eggs marketed as caviar (Ref. 1998).  In the past, the airbladder was made into isinglass (Ref. 27547).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",113,"2001-07-25T00:00:00.000Z",113,"1995-12-15T00:00:00.000Z",NA,2594
